source;translation;type;module;status;customer
lang_code;tr;M;;T;N
lang_name;Türkçe;M;;T;N
lang_english_name;Turkish;M;;T;N
lang_author;www.aktifegitim.com;M;;T;N
lang_version;4.5.86.0;M;;T;N
lang_date_format;AA/g/yyyy;M;;T;N
lang_time_format;SA:dk:sn;M;;T;N
lang_thousands_separator;" ";M;;T;N
lang_decimal_separator;.;M;;T;N
lang_transaltion_percentage;79;M;;T;N
"Error during copy of sample banner image %s.";"%s örnek reklam (banner) resmi kopyalanırken hata oluştu.";S;;T;N
"License";"Lisans";S;;T;N
"You have to agree license.";"Lisans sözleşmesini kabul etmelisiniz.";B;;T;N
"Installation Completed";"Yükleme Tamamlandı";B;;T;N
"Safe Mode";"Güvenli Mod";S;;T;N
"Display Errors";"Hataları Göster";S;;T;N
"File Uploads";"Dosya Yüklemeleri";S;;T;N
"Register Globals";"Genel Tanımlamaları Kaydet";S;;T;N
"Session Auto Start";"Oturumu Otomatik Başlat";S;;T;N
"On";"Açık";B;;T;N
"Off";"Kapalı";B;;T;N
"Configuration directory is writable";"Konfigürasyon dizini yazılabilir";S;;T;N
"Configuration directory has to be writable";"Konfigürasyon dizini yazılabilir olmalı";S;;T;N
"Please make directory %s and all subdirectories writable by webserver.";"Lütfen %s dizini ve alt dizinlerinin webserver tarafından yazılabilir olmasını sađlayın.";S;;T;N
"On unix-like systems you can type ""chmod -R 777 %s"".";"Unix-tipi sistemlerde ""chmod -R 777 %s"" yazabilirsiniz.";S;;T;N
"On any system you can set write permissions using your favourite FTP client.";"Herhangi bir sistemde, kullanmakta olduđunuz FTP programı ile izinleri belirleyebilirsiniz.";S;;T;N
"PHP include path";"PHP include dizini";S;;T;N
"Could not set PHP include path";"PHP include dizini belirlenemedi";S;;T;N
"Please configure your PHP so that script is able to change include_path.";"Lütfen include_path değiştirilebilmesi için PHP'nizi ayarlayın.";S;;T;N
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Alternatif olarak include_path 'i dođrudan php.ini 'de ayarlayabilirsiniz. include_path=%s";S;;T;N
"MySQL extension is installed";"MySQL uzantısı yüklendi";S;;T;N
"MySQL extension is not installed";"MySQL uzantısı yüklenmedi";S;;T;N
"Please enable MySQL extension. More info http://php.net/mysql";"Lütfen MySQL uzantısını aktif duruma getirin. Bilgi için http://php.net/mysql";S;;T;N
"MySQL version is %s or higher";"MySQL sürümü %s veya daha yüksek";S;;T;N
"MySQL version is less then %s";"MySQL sürümü %s 'den daha düşük";S;;T;N
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Lütfen MySQL %s sürümü veya daha yükseđini yükleyin. Yüklü olan sürüm %s. Bilgi için http://mysql.net/";S;;T;N
"Please check system requirements and try again";"Lütfen sistem gereksinimlerini kontrol edin ve tekrar deneyin";S;;T;N
"Welcome";"Hoşgeldiniz";S;;T;N
"Error, you cannot deactivate Default campaign";"Hata, varsayılan kampanyayı devre dışı bırakamazsınız";S;merchant;T;N
"You have to specify status of campaign (rstatus field)";"Kampanya durumunu belirtmelisiniz (rstatus field)";S;merchant;T;N
"Campaigns";"Kampanyalar";B;;T;N
"Overview";"Genel Bakış";B;;T;N
"Campaigns Manager";"Kampanya Yönetimi";S;merchant;T;N
"Banners";"Reklamlar (Banners)";B;merchant;T;N
"Banners Manager";"Reklam (Banner) Yönetimi";B;merchant;T;N
"Affiliates";"İş Çemberi Uzmanları";B;merchant;T;N
"Affiliates Manager";"İş Çemberi Uzmanları Yöneticisi";S;merchant;T;N
"DirectLinks Urls";"Doğrudan Bağlantı web adresleri";S;merchant;T;N
"Transactions";"İşlemler";S;merchant;T;N
"Raw clicks list";"Ham tıklama listesi";B;merchant;T;N
"Commissions";"Komisyonlar";B;;T;N
"Reports";"Raporlar";B;;T;N
"Trends report";"Eğilim raporu";B;;T;N
"Payouts history";"Ödemeler geçmişi";B;;T;N
"Payouts by affiliate";"İş Çemberi Uzmanına göre ödemeler";B;merchant;T;N
"Payouts";"Ödemeler";B;merchant;T;N
"Pay affiliates";"İş Çemberi Uzmanlarına öde";B;merchant;T;N
"Communication";"Haberleşme";B;;T;N
"Send message";"Mesaj yolla";S;merchant;T;N
"Configuration";"Konfigürasyon";B;merchant;T;N
"Tracking settings";"İzleme Ayarları";B;merchant;T;N
"Affiliate panel";"İş Çemberi Uzman paneli";C;merchant;T;N
"Tools";"Araçlar";B;;T;N
"Integration";"Entegrasyon";B;merchant;T;N
"Import / Export";"Dışarıdan Al / Dışarı Ver";B;merchant;T;N
"Event logs";"Olay kaydı";B;merchant;T;N
